timestamp,Analog Temperature (oC),Analog VOC in Air,Analog Alcohol in Air,GM102B VOC,GM302B VOC,GM502B VOC,GM702B VOC,Digital Temperature (oC),Air Pressure (hPa),Humidity %,BM680 VOC
0,26.000712522887284,0.9824561403508772,0.9807177289769685,1.0,1.0026525198938991,0.9969969969969971,1.0044247787610618,30.16,1015.78,36.079,1.0648866303428601
1,26.000712522887284,1.0,0.9833512352309344,1.0021978021978022,1.0,1.0,1.0044247787610618,30.15,1015.78,36.1,1.0833203198011627
2,25.981792171786196,0.9824561403508772,0.9870619946091644,1.0021978021978022,1.0,1.0,1.0,30.14,1015.78,36.085,1.0670986733662386
3,26.133285237884536,0.9912280701754387,0.9833512352309344,1.0021978021978022,1.0026525198938991,1.0,1.0044247787610618,30.14,1015.78,36.085,1.0575131530302382
4,26.152243319193246,1.0087719298245614,0.96929592376919,1.0,1.0,0.9969969969969971,1.0044247787610618,30.16,1015.79,36.068,1.0191710569175552
5,26.152243319193246,1.043859649122807,0.9786210582576162,1.0021978021978022,0.9973474801061009,0.9969969969969971,1.0044247787610618,30.16,1015.79,36.038,1.0243324943090957
6,26.000712522887284,1.0,0.994028230184582,1.0,0.9973474801061009,0.9969969969969971,1.0044247787610618,30.16,1015.79,36.038,1.0294939312724314
7,26.17120630986119,1.0,0.9646996838777662,1.0,0.9973474801061009,0.9969969969969971,1.0,30.15,1015.76,36.025,1.032443323630654
8,26.11433202290391,1.0263157894736843,0.9796682718031033,1.0,1.0,0.9939939939939941,1.0,30.15,1015.77,36.036,1.0331806716983625
9,26.152243319193246,1.0087719298245614,0.9870619946091644,1.0,0.9973474801061009,0.9969969969969971,1.0044247787610618,30.15,1015.77,36.019,1.034655367807563
10,26.11433202290391,0.9912280701754387,0.9807177289769685,1.0,1.0,0.9969969969969971,1.0,30.15,1015.77,36.007,1.0376047599210971
11,26.209147191672173,1.0,0.9844086021505376,0.9978021978021977,0.9973474801061009,0.9969969969969971,1.0044247787610618,30.14,1015.78,35.999,1.0479276312173698
12,26.09538363127433,1.0350877192982457,0.9875943905070119,1.0021978021978022,0.9973474801061009,0.9969969969969971,1.0,30.14,1015.79,36.005,1.0457155875123598
13,26.152243319193246,1.0,0.9796682718031033,1.0021978021978022,0.9973474801061009,0.9969969969969971,1.0,30.14,1015.79,36.01,1.0442408916653254
14,26.057501146425125,1.0175438596491229,0.9833512352309344,1.0,0.9973474801061009,0.9939939939939941,1.0044247787610618,30.14,1015.78,36.01,1.0353927158490548
15,26.152243319193246,1.0,0.9902650081124932,1.0021978021978022,0.9973474801061009,0.9969969969969971,1.0,30.14,1015.78,36.01,1.0361300638818076
16,26.17120630986119,0.9912280701754387,0.9812433011789925,1.0,0.9973474801061009,0.9969969969969971,0.9955752212389382,30.14,1015.79,36.01,1.0398168039144897
17,26.01963744057491,0.9824561403508772,0.9822961373390559,1.0021978021978022,1.0,0.9939939939939941,1.0,30.14,1015.79,35.982,1.0442408916653254
