timestamp,Analog Temperature (oC),Analog VOC in Air,Analog Alcohol in Air,GM102B VOC,GM302B VOC,GM502B VOC,GM702B VOC,Digital Temperature (oC),Air Pressure (hPa),Humidity %,BM680 VOC
0,26.01963744057491,1.0,1.0,1.0043956043956044,1.0,0.9909909909909911,1.008849557522124,30.11,1015.76,36.058,1.3376928394849075
1,26.03856696751535,1.0087719298245614,0.986530172413793,1.0021978021978022,1.0,0.9909909909909911,1.0132743362831858,30.1,1015.74,36.058,1.3347464109934686
2,26.0764400200718,0.9912280701754387,0.9812433011789925,1.0043956043956044,1.0026525198938991,0.9939939939939941,1.0132743362831858,30.1,1015.75,36.174,1.2831411630315965
3,25.981792171786196,1.0263157894736843,0.9801927194860813,1.0065934065934066,1.0,0.9909909909909911,1.0176991150442478,30.1,1015.75,36.283,1.242587169266185
4,26.11433202290391,1.0087719298245614,0.9854682454251884,1.0021978021978022,1.0,0.9909909909909911,1.0176991150442478,30.1,1015.75,36.341,1.2241535269976302
5,26.0764400200718,1.0263157894736843,0.9796682718031033,1.0043956043956044,1.0,0.9909909909909911,1.0132743362831858,30.1,1015.73,36.347,1.1961343802890503
6,26.17120630986119,1.0175438596491229,0.9833512352309344,1.0087912087912088,1.013262599469496,0.9909909909909911,1.0176991150442478,30.1,1015.72,36.313,1.174751338784831
7,26.17120630986119,1.0263157894736843,0.9859989229940765,1.0967032967032966,1.0689655172413792,0.9969969969969971,1.0442477876106195,30.11,1015.72,36.272,1.154842983191583
8,26.09538363127433,1.043859649122807,1.004388370817334,1.2439560439560438,1.1618037135278514,1.012012012012012,1.1194690265486726,30.11,1015.74,36.313,1.1518935966359602
9,26.000712522887284,1.1140350877192982,1.0397501419647928,1.5384615384615385,1.4111405835543767,1.0960960960960964,1.5619469026548674,30.11,1015.75,36.597,1.1614791024305118
10,26.17120630986119,1.1842105263157894,1.0937873357228196,1.8175824175824173,1.7294429708222812,1.3003003003003004,2.230088495575221,30.12,1015.74,36.798,1.1850741873251354
11,26.133285237884536,1.2280701754385965,1.1023479831426852,1.859340659340659,1.8116710875331565,1.3873873873873876,2.3672566371681416,30.13,1015.74,36.862,1.1504189033057162
12,26.03856696751535,1.2894736842105263,1.1422333125389894,1.8791208791208793,1.8992042440318302,1.5105105105105106,2.3805309734513274,30.14,1015.73,36.887,1.175488685165941
13,26.17120630986119,1.2894736842105263,1.2006557377049183,1.859340659340659,1.93368700265252,1.5735735735735739,2.252212389380531,30.14,1015.73,36.893,1.2005584569240695
14,26.152243319193246,1.3508771929824561,1.2732962447844227,1.8417582417582414,1.946949602122016,1.6186186186186187,2.1725663716814156,30.14,1015.73,36.841,1.233001675968165
15,26.09538363127433,1.298245614035088,1.3633655994043188,1.859340659340659,1.973474801061008,1.6786786786786787,2.2831858407079646,30.14,1015.73,36.771,1.252172661087344
16,26.09538363127433,1.307017543859649,1.4327073552425664,1.920879120879121,2.0397877984084882,1.7927927927927931,2.5752212389380533,30.14,1015.73,36.66,1.2816664728123754
17,26.11433202290391,1.307017543859649,1.491042345276873,1.9516483516483514,2.0769230769230766,1.888888888888889,2.7035398230088497,30.15,1015.72,36.581,1.2875652334795287
18,26.03856696751535,1.2894736842105263,1.522028262676642,1.9406593406593404,2.0769230769230766,1.9279279279279282,2.6725663716814156,30.16,1015.73,36.52,1.269131604537676
19,26.11433202290391,1.3157894736842106,1.5662959794696323,1.920879120879121,2.0716180371352784,1.9429429429429432,2.601769911504425,30.17,1015.71,36.462,1.2455365515223018
20,26.209147191672173,1.280701754385965,1.603327495621716,1.9142857142857141,2.0716180371352784,1.9519519519519521,2.553097345132743,30.18,1015.75,36.411,1.2278402558882828
21,26.209147191672173,1.2543859649122808,1.6495495495495498,1.9164835164835166,2.0769230769230766,1.96996996996997,2.5486725663716814,30.19,1015.73,36.36,1.214568030859492
