timestamp,Analog Temperature (oC),Analog VOC in Air,Analog Alcohol in Air,GM102B VOC,GM302B VOC,GM502B VOC,GM702B VOC,Digital Temperature (oC),Air Pressure (hPa),Humidity %,BM680 VOC
0,25.962876344655342,1.1610169491525422,1.1195862960568843,1.0217864923747277,1.0781671159029649,1.0769230769230769,1.1887550200803214,29.93,1015.17,35.667,1.2745318880018872
1,26.03856696751535,1.1271186440677965,1.1210355987055016,1.0217864923747277,1.0808625336927222,1.080128205128205,1.136546184738956,29.93,1015.18,35.684,1.2847755982906695
2,26.190174252973975,1.152542372881356,1.1166989039329465,1.0217864923747277,1.0781671159029649,1.080128205128205,1.1124497991967872,29.93,1015.21,35.696,1.2663369188967375
3,26.057501146425125,1.1440677966101693,1.1138263665594854,1.0196078431372548,1.0781671159029649,1.080128205128205,1.2168674698795183,29.93,1015.2,35.684,1.270434403546437
4,26.152243319193246,1.1610169491525422,1.118140735958683,1.0217864923747277,1.0781671159029649,1.080128205128205,1.144578313253012,29.93,1015.2,35.69,1.2519957210930723
5,26.09538363127433,1.1440677966101693,1.1138263665594854,1.0196078431372548,1.0754716981132073,1.080128205128205,1.0883534136546187,29.94,1015.19,35.669,1.2407276354351444
6,25.981792171786196,1.1440677966101693,1.1116816431322207,1.0196078431372548,1.07277628032345,1.0769230769230769,1.0843373493975905,29.94,1015.18,35.658,1.232532663124874
7,26.03856696751535,1.1355932203389831,1.1088348271446864,1.0196078431372548,1.0754716981132073,1.0769230769230769,1.0602409638554218,29.95,1015.18,35.672,1.232532663124874
8,26.152243319193246,1.1864406779661016,1.1138263665594854,1.0217864923747277,1.07277628032345,1.0737179487179487,1.0803212851405624,29.95,1015.2,35.678,1.2304839199259003
9,26.03856696751535,1.1271186440677965,1.1174193548387097,1.0196078431372548,1.07277628032345,1.0737179487179487,1.1044176706827311,29.96,1015.2,35.679,1.2304839199259003
10,26.11433202290391,1.211864406779661,1.3302611367127497,1.0261437908496733,1.123989218328841,1.0769230769230769,2.4779116465863456,29.96,1015.19,35.685,1.2980924198510666
11,26.152243319193246,1.5847457627118644,1.878524945770065,1.0827886710239651,1.366576819407008,1.1282051282051284,3.1967871485943777,29.96,1015.18,35.737,1.5224293361798606
12,26.152243319193246,1.8983050847457625,2.162297128589264,1.122004357298475,1.5148247978436657,1.1955128205128205,3.265060240963855,29.97,1015.19,35.795,1.666865124866912
13,26.17120630986119,2.084745762711864,2.327956989247312,1.178649237472767,1.7223719676549862,1.2692307692307694,3.4176706827309236,29.97,1015.17,35.853,1.826666141741435
14,26.057501146425125,2.26271186440678,2.5247813411078717,1.2091503267973858,1.7762803234501345,1.330128205128205,3.248995983935743,29.98,1015.16,35.907,1.90957196684365
15,26.000712522887284,2.3983050847457625,2.7020280811232453,1.2047930283224402,1.792452830188679,1.3493589743589745,3.2208835341365463,29.98,1015.16,35.937,1.973018973551945
16,26.057501146425125,2.7033898305084745,2.950596252129472,1.215686274509804,1.824797843665768,1.3782051282051284,3.208835341365462,29.99,1015.16,35.948,2.0200925290776115
17,26.133285237884536,2.9491525423728815,3.1605839416058394,1.2265795206971677,1.8760107816711586,1.403846153846154,3.289156626506024,29.99,1015.18,35.959,2.1019595211001962
18,26.133285237884536,3.059322033898305,3.2927756653992395,1.2374727668845316,1.902964959568733,1.439102564102564,3.321285140562249,30.0,1015.18,35.97,2.23908655901655
19,26.133285237884536,3.050847457627118,3.4501992031872506,1.2549019607843137,1.940700808625337,1.4871794871794872,3.365461847389558,30.0,1015.18,35.953,2.345513363868011
20,26.17120630986119,3.050847457627118,3.5637860082304527,1.263616557734205,1.9622641509433965,1.5064102564102566,3.2690763052208838,30.0,1015.18,35.942,2.363933374481113
21,26.0764400200718,3.008474576271186,3.5711340206185564,1.2592592592592593,1.9541778975741242,1.5128205128205128,3.2248995983935744,30.01,1015.18,35.901,2.3025333238378027
22,26.09538363127433,3.016949152542373,3.593360995850622,1.2570806100217864,1.9514824797843666,1.5224358974358976,3.2289156626506026,30.01,1015.19,35.878,2.263646602536827
23,26.0764400200718,3.1186440677966103,3.685106382978723,1.2570806100217864,1.9541778975741242,1.532051282051282,3.2248995983935744,30.01,1015.18,35.843,2.263646602536827
24,26.09538363127433,3.1779661016949152,3.740820734341253,1.2570806100217864,1.9595687331536389,1.544871794871795,3.2530120481927716,30.01,1015.18,35.831,2.2575065923110293
25,26.000712522887284,3.1440677966101696,3.7816593886462884,1.261437908496732,1.9595687331536389,1.5576923076923077,3.285140562248996,30.02,1015.17,35.814,2.2575065923110293
26,26.03856696751535,3.1440677966101696,3.7652173913043474,1.2679738562091505,1.9703504043126683,1.580128205128205,3.3493975903614457,30.02,1015.16,35.802,2.286159969632988
27,26.057501146425125,3.042372881355932,3.7327586206896552,1.2788671023965144,1.9919137466307277,1.608974358974359,3.389558232931727,30.03,1015.16,35.775,2.323000012232019
28,25.981792171786196,2.9745762711864407,3.708779443254818,1.2854030501089326,1.9973045822102424,1.6250000000000002,3.2931726907630523,30.03,1015.14,35.758,2.323000012232019
29,26.17120630986119,3.084745762711864,3.7816593886462884,1.2788671023965144,1.9838274932614555,1.6314102564102564,3.2971887550200805,30.03,1015.19,35.741,2.2656932725151644
30,26.133285237884536,3.135593220338983,3.7652173913043474,1.2766884531590417,1.9784366576819405,1.637820512820513,3.2690763052208838,30.05,1015.17,35.735,2.169499731143155
31,26.17120630986119,3.2796610169491522,3.7734204793028328,1.2745098039215688,1.9730458221024259,1.6410256410256412,3.240963855421687,30.05,1015.19,35.711,2.1572196968791597
32,26.133285237884536,3.4152542372881354,3.8318584070796455,1.2766884531590417,1.9784366576819405,1.6442307692307694,3.2931726907630523,30.05,1015.2,35.671,2.134706296197061
33,26.152243319193246,3.3644067796610164,3.8149779735682823,1.2701525054466232,1.9703504043126683,1.6442307692307694,3.2690763052208838,30.05,1015.2,35.677,2.056932685083782
34,26.09538363127433,3.305084745762712,3.7734204793028328,1.2962962962962965,2.0323450134770886,1.6794871794871795,3.389558232931727,30.05,1015.19,35.677,2.1838264355793435
35,26.152243319193246,3.347457627118644,3.75704989154013,1.291938997821351,2.013477088948787,1.682692307692308,3.2811244979919683,30.05,1015.19,35.671,2.2227131927925354
36,26.133285237884536,3.3135593220338984,3.7167381974248928,1.2962962962962965,2.0242587601078164,1.698717948717949,3.4096385542168677,30.05,1015.16,35.671,2.282066630597139
37,26.11433202290391,3.1864406779661016,3.669491525423729,1.3180827886710242,2.0619946091644206,1.733974358974359,3.473895582329318,30.05,1015.16,35.677,2.341420027643101
38,25.981792171786196,3.059322033898305,3.6234309623430963,1.3246187363834423,2.059299191374663,1.7564102564102564,3.413654618473896,30.04,1015.17,35.677,2.363933374481113
39,26.057501146425125,2.9491525423728815,3.5785123966942147,1.3246187363834423,2.0539083557951483,1.7692307692307694,3.413654618473896,30.05,1015.16,35.677,2.357793371379592
40,26.03856696751535,2.847457627118644,3.5564681724845997,1.328976034858388,2.0700808625336924,1.7820512820512822,3.4457831325301207,30.05,1015.15,35.666,2.3823533811685973
41,26.01963744057491,2.805084745762712,3.5637860082304527,1.328976034858388,2.056603773584906,1.794871794871795,3.3775100401606424,30.05,1015.15,35.653,2.4130533835908103
42,26.133285237884536,2.7457627118644066,3.593360995850622,1.3311546840958608,2.0700808625336924,1.8012820512820513,3.3935742971887555,30.05,1015.15,35.658,2.4621733647850204
43,26.01963744057491,2.711864406779661,3.608333333333334,1.320261437908497,2.0512129380053907,1.7980769230769231,3.34136546184739,30.05,1015.16,35.658,2.441706709346605
44,25.981792171786196,2.6525423728813555,3.5637860082304527,1.3224400871459696,2.045822102425876,1.8044871794871795,3.357429718875502,30.05,1015.16,35.636,2.384400048335996
45,26.057501146425125,2.6186440677966103,3.4779116465863456,1.328976034858388,2.0646900269541777,1.810897435897436,3.4618473895582333,30.05,1015.17,35.619,2.3659800420846913
46,26.133285237884536,2.5677966101694913,3.4570858283433132,1.3355119825708062,2.0700808625336924,1.8237179487179487,3.4096385542168677,30.06,1015.17,35.619,2.3659800420846913
47,26.09538363127433,2.550847457627119,3.4640000000000004,1.326797385620915,2.0539083557951483,1.8173076923076923,3.309236947791165,30.06,1015.16,35.602,2.347560031907769
48,26.152243319193246,2.5677966101694913,3.4779116465863456,1.320261437908497,2.045822102425876,1.810897435897436,3.2931726907630523,30.06,1015.16,35.595,2.345513363868011
49,26.11433202290391,2.6271186440677963,3.5419222903885483,1.3180827886710242,2.0377358490566038,1.8076923076923077,3.285140562248996,30.06,1015.16,35.589,2.312766668640717
50,26.000712522887284,2.7033898305084745,3.5711340206185564,1.3071895424836604,2.0161725067385445,1.7980769230769231,3.2771084337349397,30.06,1015.16,35.578,2.2841133001392957
51,26.17120630986119,2.7033898305084745,3.58592132505176,1.3028322440087148,2.0053908355795147,1.8012820512820513,3.321285140562249,30.06,1015.15,35.583,2.282066630597139
52,26.11433202290391,2.635593220338983,3.5711340206185564,1.3050108932461875,2.0080862533692723,1.8076923076923077,3.389558232931727,30.06,1015.16,35.583,2.2943466471231115
53,26.133285237884536,2.593220338983051,3.5637860082304527,1.3224400871459696,2.0539083557951483,1.830128205128205,3.441767068273093,30.06,1015.17,35.583,2.347560031907769
54,26.11433202290391,2.5084745762711864,3.527494908350306,1.3355119825708062,2.059299191374663,1.8493589743589745,3.3293172690763053,30.06,1015.16,35.583,2.372120044604639
55,26.09538363127433,2.5,3.5419222903885483,1.3028322440087148,1.9919137466307277,1.8173076923076923,3.092369477911647,30.06,1015.16,35.716,2.212479837327429
56,26.152243319193246,2.466101694915254,3.4640000000000004,1.2766884531590417,1.9326145552560647,1.7884615384615385,2.791164658634538,30.07,1015.16,35.905,2.0466993099905038
57,26.209147191672173,2.466101694915254,3.3894324853228968,1.2549019607843137,1.881401617250674,1.7564102564102564,2.746987951807229,30.07,1015.16,36.038,1.9116186452063733
58,26.01963744057491,2.4745762711864407,3.330769230769231,1.2440087145969498,1.8571428571428568,1.7403846153846154,2.654618473895582,30.08,1015.17,36.06,1.777496629555921
59,26.133285237884536,2.4830508474576267,3.2803030303030307,1.2309368191721133,1.824797843665768,1.7243589743589745,2.526104417670683,30.09,1015.15,36.038,1.6740356896476865
60,26.152243319193246,2.423728813559322,3.172161172161172,1.2113289760348585,1.7762803234501345,1.6923076923076923,2.385542168674699,30.09,1015.15,35.935,1.6125736865090423
